tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0475290,"Hail, Caesar!",2016,106,Music,Joel Coen,Ethan Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Comedy,Ethan Coen,Joel Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Drama,Ethan Coen,Joel Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Music,Ethan Coen,Joel Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Comedy,Joel Coen,Joel Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Drama,Joel Coen,Joel Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Music,Joel Coen,Joel Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Comedy,Ethan Coen,Ethan Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Crime,Ethan Coen,Ethan Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Drama,Ethan Coen,Ethan Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Comedy,Joel Coen,Ethan Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Crime,Joel Coen,Ethan Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Drama,Joel Coen,Ethan Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Comedy,Ethan Coen,Joel Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Crime,Ethan Coen,Joel Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Drama,Ethan Coen,Joel Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Comedy,Joel Coen,Joel Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Crime,Joel Coen,Joel Coen,George Clooney
tt0887883,Burn After Reading,2008,96,Drama,Joel Coen,Joel Coen,George Clooney
tt0491175,Suburbicon,2017,105,Comedy,George Clooney,Ethan Coen,Julianne Moore
tt0491175,Suburbicon,2017,105,Comedy,George Clooney,Ethan Coen,Matt Damon
tt0491175,Suburbicon,2017,105,Comedy,George Clooney,Ethan Coen,Oscar Isaac
tt0491175,Suburbicon,2017,105,Comedy,George Clooney,Ethan Coen,Noah Jupe
tt0491175,Suburbicon,2017,105,Crime,George Clooney,Ethan Coen,Julianne Moore
tt0491175,Suburbicon,2017,105,Crime,George Clooney,Ethan Coen,Matt Damon
tt0491175,Suburbicon,2017,105,Crime,George Clooney,Ethan Coen,Oscar Isaac
tt0491175,Suburbicon,2017,105,Crime,George Clooney,Ethan Coen,Noah Jupe
